stationId,time,PM25
Aotizhongxin,2/14/17 12:00,211
Aotizhongxin,2/14/17 13:00,227
Aotizhongxin,2/14/17 14:00,247
Aotizhongxin,2/14/17 15:00,260
Aotizhongxin,2/14/17 16:00,277
Aotizhongxin,2/14/17 17:00,261
Aotizhongxin,2/14/17 18:00,244
Aotizhongxin,2/14/17 19:00,236
Aotizhongxin,2/14/17 20:00,225
Aotizhongxin,2/14/17 21:00,240
Aotizhongxin,2/14/17 22:00,241
Aotizhongxin,2/14/17 23:00,230
Badaling,2/14/17 12:00,169
Badaling,2/14/17 13:00,207
Badaling,2/14/17 14:00,203
Badaling,2/14/17 15:00,193
Badaling,2/14/17 16:00,190
Badaling,2/14/17 17:00,175
Badaling,2/14/17 18:00,168
Badaling,2/14/17 19:00,173
Badaling,2/14/17 20:00,174
Badaling,2/14/17 21:00,161
Badaling,2/14/17 22:00,170
Badaling,2/14/17 23:00,175
Beibuxinqu,2/14/17 12:00,223
Beibuxinqu,2/14/17 13:00,215
Beibuxinqu,2/14/17 14:00,212
Beibuxinqu,2/14/17 15:00,210
Beibuxinqu,2/14/17 16:00,205
Beibuxinqu,2/14/17 17:00,208
Beibuxinqu,2/14/17 18:00,218
Beibuxinqu,2/14/17 19:00,211
Beibuxinqu,2/14/17 20:00,208
Beibuxinqu,2/14/17 21:00,201
Beibuxinqu,2/14/17 22:00,204
Beibuxinqu,2/14/17 23:00,213
Daxing,2/14/17 12:00,185
Daxing,2/14/17 13:00,196
Daxing,2/14/17 14:00,205
Daxing,2/14/17 15:00,208
Daxing,2/14/17 16:00,214
Daxing,2/14/17 17:00,223
Daxing,2/14/17 18:00,229
Daxing,2/14/17 19:00,225
Daxing,2/14/17 20:00,221
Daxing,2/14/17 21:00,219
Daxing,2/14/17 22:00,213
Daxing,2/14/17 23:00,210
Dingling,2/14/17 12:00,223
Dingling,2/14/17 13:00,218
Dingling,2/14/17 14:00,213
Dingling,2/14/17 15:00,220
Dingling,2/14/17 16:00,243
Dingling,2/14/17 17:00,217
Dingling,2/14/17 18:00,215
Dingling,2/14/17 19:00,215
Dingling,2/14/17 20:00,214
Dingling,2/14/17 21:00,214
Dingling,2/14/17 22:00,213
Dingling,2/14/17 23:00,210
Donggaocun,2/14/17 12:00,190
Donggaocun,2/14/17 13:00,184
Donggaocun,2/14/17 14:00,168
Donggaocun,2/14/17 15:00,161
Donggaocun,2/14/17 16:00,160
Donggaocun,2/14/17 17:00,160
Donggaocun,2/14/17 18:00,158
