stationId,time,PM25
aotizhongxin_aq,1/2/17 0:00,21
aotizhongxin_aq,1/2/17 1:00,16
aotizhongxin_aq,1/2/17 2:00,23
aotizhongxin_aq,1/2/17 3:00,18
aotizhongxin_aq,1/2/17 4:00,58
aotizhongxin_aq,1/2/17 5:00,176
aotizhongxin_aq,1/2/17 6:00,109
aotizhongxin_aq,1/2/17 7:00,267
aotizhongxin_aq,1/2/17 8:00,260
aotizhongxin_aq,1/2/17 9:00,212
aotizhongxin_aq,1/2/17 10:00,183
aotizhongxin_aq,1/2/17 11:00,136
aotizhongxin_aq,1/2/17 12:00,137
aotizhongxin_aq,1/2/17 13:00,125
aotizhongxin_aq,1/2/17 14:00,153
aotizhongxin_aq,1/2/17 15:00,165
aotizhongxin_aq,1/2/17 16:00,225
aotizhongxin_aq,1/2/17 17:00,275
aotizhongxin_aq,1/2/17 18:00,293
aotizhongxin_aq,1/2/17 19:00,293
aotizhongxin_aq,1/2/17 20:00,287
aotizhongxin_aq,1/2/17 21:00,305
aotizhongxin_aq,1/2/17 22:00,304
aotizhongxin_aq,1/2/17 23:00,266
aotizhongxin_aq,1/3/17 0:00,240
aotizhongxin_aq,1/3/17 1:00,237
aotizhongxin_aq,1/3/17 2:00,232
aotizhongxin_aq,1/3/17 3:00,155
aotizhongxin_aq,1/3/17 4:00,167
aotizhongxin_aq,1/3/17 5:00,170
aotizhongxin_aq,1/3/17 6:00,179
aotizhongxin_aq,1/3/17 7:00,244
aotizhongxin_aq,1/3/17 8:00,296
aotizhongxin_aq,1/3/17 9:00,295
aotizhongxin_aq,1/3/17 10:00,328
aotizhongxin_aq,1/3/17 11:00,397
aotizhongxin_aq,1/3/17 12:00,437
aotizhongxin_aq,1/3/17 13:00,464
aotizhongxin_aq,1/3/17 14:00,483
aotizhongxin_aq,1/3/17 15:00,447
aotizhongxin_aq,1/3/17 16:00,440
aotizhongxin_aq,1/3/17 17:00,463
aotizhongxin_aq,1/3/17 18:00,
aotizhongxin_aq,1/3/17 19:00,463
aotizhongxin_aq,1/3/17 20:00,473
aotizhongxin_aq,1/3/17 21:00,488
aotizhongxin_aq,1/3/17 22:00,500
aotizhongxin_aq,1/3/17 23:00,392
aotizhongxin_aq,1/4/17 0:00,338
aotizhongxin_aq,1/4/17 1:00,338
aotizhongxin_aq,1/4/17 2:00,441
aotizhongxin_aq,1/4/17 3:00,333
aotizhongxin_aq,1/4/17 4:00,167
aotizhongxin_aq,1/4/17 5:00,216
aotizhongxin_aq,1/4/17 6:00,291
aotizhongxin_aq,1/4/17 7:00,325
aotizhongxin_aq,1/4/17 8:00,367
aotizhongxin_aq,1/4/17 9:00,322
aotizhongxin_aq,1/4/17 10:00,298
aotizhongxin_aq,1/4/17 11:00,304
aotizhongxin_aq,1/4/17 12:00,346
aotizhongxin_aq,1/4/17 13:00,356
aotizhongxin_aq,1/4/17 14:00,380
aotizhongxin_aq,1/4/17 15:00,328
aotizhongxin_aq,1/4/17 16:00,203
aotizhongxin_aq,1/4/17 17:00,168
aotizhongxin_aq,1/4/17 18:00,159
aotizhongxin_aq,1/4/17 19:00,168
aotizhongxin_aq,1/4/17 20:00,175
